10.0 	 -44343.27609526
9.0 	 -44343.27570396
8.00 	 -44343.27543169
7.5 	 -44343.27512656
7.00 	 -44343.27489958
6.5 	 -44343.27498490
6.25 	 -44343.27499597
6.00 	 -44343.27514603
5.5 	 -44343.27556475
5.25 	 -44343.27600075
5.00 	 -44343.27670350
4.75 	 -44343.27788354
4.50 	 -44343.28002646
4.00 	 -44343.28950298
3.80 	 -44343.29639011
3.75 	 -44343.29849464
3.50 	 -44343.31145516
3.40 	 -44343.31769097
3.25 	 -44343.32785551
3.20 	 -44343.33134337
3.15 	 -44343.33481963
3.10 	 -44343.33823589
3.00 	 -44343.34462214
2.95 	 -44343.34742519
2.90 	 -44343.34965271
2.85 	 -44343.35156611
2.84 	 -44343.35186662
2.83 	 -44343.35213505
2.82 	 -44343.35237715
2.81 	 -44343.35260117
2.80 	 -44343.35280349
2.79 	 -44343.35297399
2.78 	 -44343.35314781
2.77 	 -44343.35324919
2.76 	 -44343.35331296
2.75 	 -44343.35333812
2.74 	 -44343.35332283
2.73 	 -44343.35326574
2.72 	 -44343.35316495
2.71 	 -44343.35301910
2.70 	 -44343.35282625
2.69 	 -44343.35258437
2.68 	 -44343.35229194
2.67 	 -44343.35194616
2.66 	 -44343.35154572
2.65 	 -44343.35108782
2.60 	 -44343.34786227
2.55 	 -44343.34264738
2.50 	 -44343.33566080
2.40 	 -44343.31325562
2.30 	 -44343.27666249
