10.0 	 -44342.06816999
9.0 	 -44342.06819509
8.00 	 -44342.06824565
7.5 	 -44342.06828777
7.00 	 -44342.06834868
6.5 	 -44342.06843727
6.25 	 -44342.06849544
6.00 	 -44342.06856374
5.75 	 -44342.06864240
5.5 	 -44342.06872907
5.25 	 -44342.06881488
5.00 	 -44342.06887568
4.75 	 -44342.06886043
4.50 	 -44342.06868520
4.00 	 -44342.06741223
3.80 	 -44342.06649616
3.75 	 -44342.06624901
3.50 	 -44342.06508082
3.40 	 -44342.06463021
3.25 	 -44342.06361204
3.20 	 -44342.06304084
3.15 	 -44342.06226722
3.10 	 -44342.06122615
3.00 	 -44342.05802671
2.95 	 -44342.05568208
2.90 	 -44342.05269499
2.85 	 -44342.04893811
2.84 	 -44342.04808196
2.83 	 -44342.04718825
2.82 	 -44342.04625431
2.81 	 -44342.04528121
2.80 	 -44342.04426727
2.79 	 -44342.04320838
2.78 	 -44342.04210703
2.77 	 -44342.04095856
2.76 	 -44342.03976313
2.75 	 -44342.03851857
2.74 	 -44342.03722383
2.73 	 -44342.03587662
2.72 	 -44342.03447614
2.71 	 -44342.03302011
2.70 	 -44342.03150668
2.69 	 -44342.02993494
2.68 	 -44342.02830261
2.67 	 -44342.02660730
2.66 	 -44342.02484786
2.65 	 -44342.02302184
2.60 	 -44342.01282495
2.55 	 -44342.00064547
2.50 	 -44341.98617448
2.40 	 -44341.94890769
2.30 	 -44341.89751881
2.20 	 -44341.82690697
2.00 	 -44341.59746761
1.51 	 -44339.62725866
1.50 	 -44339.53829515
1.49 	 -44339.44583157
