10.0 	 -44342.06920315
9.0 	 -44342.06920532
8.00 	 -44342.06921375
7.5 	 -44342.06921995
7.00 	 -44342.06922702
6.5 	 -44342.06923228
6.25 	 -44342.06923173
6.00 	 -44342.06922472
5.75 	 -44342.06920493
5.5 	 -44342.06935167
5.25 	 -44342.06955184
5.00 	 -44342.06981765
4.75 	 -44342.07016334
4.50 	 -44342.07060583
4.00 	 -44342.07453371
3.80 	 -44342.07905139
3.75 	 -44342.08062335
3.50 	 -44342.09274364
3.40 	 -44342.09894243
3.25 	 -44342.10908680
3.20 	 -44342.11253793
3.15 	 -44342.11593928
3.10 	 -44342.11922828
3.00 	 -44342.12516795
2.95 	 -44342.12763750
2.90 	 -44342.12962897
2.85 	 -44342.13101225
2.84 	 -44342.13120313
2.83 	 -44342.13136266
2.82 	 -44342.13148924
2.81 	 -44342.13158164
2.80 	 -44342.13163863
2.79 	 -44342.13165864
2.78 	 -44342.13178163
2.77 	 -44342.13171207
2.76 	 -44342.13160017
2.75 	 -44342.13144432
2.74 	 -44342.13124252
2.73 	 -44342.13099306
2.72 	 -44342.13069415
2.71 	 -44342.13034385
2.70 	 -44342.12994014
2.69 	 -44342.12948109
2.68 	 -44342.12896477
2.67 	 -44342.12838849
2.66 	 -44342.12775054
2.65 	 -44342.12704828
2.60 	 -44342.12249027
2.55 	 -44342.11613761
2.50 	 -44342.10688288
2.40 	 -44342.08002250
2.30 	 -44342.03667306
2.20 	 -44341.97145277
2.00 	 -44341.74543065
1.51 	 -44339.72034664
1.50 	 -44339.63037571
1.49 	 -44339.53688109
