10.0 	 -44343.27001825
9.0 	 -44343.27038760
8.0 	 -44343.27071118
7.0 	 -44343.27017602
6.0 	 -44343.27075858
5.5 	 -44343.27067183
5.0 	 -44343.27118326
4.75 	 -44343.27144753
4.5 	 -44343.27298963
4.25 	 -44343.27615708
4.0 	 -44343.28154780
3.9 	 -44343.28439628
3.4 	 -44343.30743080
3.3 	 -44343.31718016
3.2 	 -44343.32363919
3.1 	 -44343.33065144
3.0 	 -44343.33679553
2.95 	 -44343.34128231
2.9 	 -44343.34365546
2.85 	 -44343.34542481
2.83 	 -44343.34625066
2.81 	 -44343.34675342
2.8 	 -44343.34405649
2.79 	 -44343.34430048
2.78 	 -44343.34445425
2.77 	 -44343.34457190
2.76 	 -44343.34467518
2.75 	 -44343.34469386
2.74 	 -44343.34471739
2.73 	 -44343.34468513
2.72 	 -44343.34459450
2.71 	 -44343.34444373
2.70 	 -44343.34424247
2.69 	 -44343.34407338
2.68 	 -44343.34375874
2.67 	 -44343.34340814
2.66 	 -44343.34297441
2.65 	 -44343.34248942
2.63 	 -44343.34171024
2.61 	 -44343.34035500
2.58 	 -44343.34016735
2.55 	 -44343.33710545
2.5 	 -44343.33085014
2.45 	 -44343.32110196
2.3 	 -44343.26955964
