step        name              wall_time_s     wall_time_min    wall_time_h
CASPT2      quintet_root6     795.73          13.26            0.221
CASPT2      quintet_root7     180.55          3.01             0.050
CASPT2      quintet_root8     793.97          13.23            0.221
CASPT2      quintet_root9     570.21          9.50             0.158
CASPT2      quintet_root10    652.64          10.88            0.181
CASPT2      quintet_root11    659.36          10.99            0.183
CASPT2      quintet_root12    389.92          6.50             0.108
CASPT2      quintet_root13    658.86          10.98            0.183
CASPT2      quintet_root14    651.16          10.85            0.181
CASPT2      quintet_root15    652.15          10.87            0.181
CASPT2      quintet_root16    570.09          9.50             0.158
CASPT2      quintet_root17    179.11          2.99             0.050
CASPT2      quintet_root18    675.94          11.27            0.188
CASPT2      quintet_root19    180.49          3.01             0.050
CASPT2      quintet_root20    652.20          10.87            0.181
CASPT2      quintet_root21    388.32          6.47             0.108
CASPT2      quintet_root22    570.03          9.50             0.158
CASPT2      quintet_root23    787.97          13.13            0.219
CASPT2      quintet_root24    388.25          6.47             0.108
CASPT2      quintet_root25    569.97          9.50             0.158
CASPT2      quintet_root26    389.26          6.49             0.108
CASPT2      quintet_root27    570.06          9.50             0.158
CASPT2      quintet_root28    652.32          10.87            0.181
CASPT2      quintet_root29    659.01          10.98            0.183
CASPT2      quintet_root30    651.64          10.86            0.181
CASPT2      quintet_root31    649.54          10.83            0.180
CASPT2      quintet_root32    788.49          13.14            0.219
CASPT2      quintet_root33    388.27          6.47             0.108
CASPT2      quintet_root34    658.32          10.97            0.183
CASPT2      quintet_root35    570.07          9.50             0.158
CASPT2      quintet_root36    661.64          11.03            0.184
CASPT2      quintet_root37    792.07          13.20            0.220
CASPT2      quintet_root38    388.29          6.47             0.108
CASPT2      quintet_root39    681.96          11.37            0.189
CASPT2      quintet_root40    791.42          13.19            0.220
CASPT2      quintet_root41    677.14          11.29            0.188
CASPT2      quintet_root42    651.77          10.86            0.181
CASPT2      quintet_root43    676.70          11.28            0.188
CASPT2      quintet_root44    656.25          10.94            0.182
CASPT2      quintet_root45    659.27          10.99            0.183
CASPT2      quintet_root46    659.24          10.99            0.183
CASPT2      quintet_root47    180.33          3.01             0.050
CASPT2      quintet_root48    655.85          10.93            0.182
CASPT2      quintet_root49    676.16          11.27            0.188
CASPT2      quintet_root50    389.31          6.49             0.108
CASPT2      quintet_root51    786.61          13.11            0.219
CASPT2      quintet_root52    389.92          6.50             0.108
CASPT2      quintet_root53    677.40          11.29            0.188
CASPT2      quintet_root54    649.56          10.83            0.180
CASPT2      quintet_root55    786.68          13.11            0.219
CASPT2      quintet_root56    388.70          6.48             0.108
CASPT2      quintet_root57    657.63          10.96            0.183
CASPT2      quintet_root58    678.17          11.30            0.188
CASPT2      quintet_root59    569.26          9.49             0.158
CASPT2      quintet_root60    568.97          9.48             0.158
CASPT2      quintet_root61    388.47          6.47             0.108
CASPT2      quintet_root62    385.98          6.43             0.107
CASPT2      quintet_root63    179.12          2.99             0.050
CASPT2      quintet_root64    180.24          3.00             0.050
CASPT2      quintet_root65    786.48          13.11            0.218
CASPT2      quintet_root66    651.96          10.87            0.181
CASPT2      quintet_root67    180.99          3.02             0.050
CASPT2      quintet_root68    790.70          13.18            0.220
CASPT2      quintet_root69    681.76          11.36            0.189
CASPT2      quintet_root70    681.45          11.36            0.189
EFFE        singlet           4.93            0.08             0.001
EFFE        triplet           0.45            0.01             0.000
EFFE        quintet           0.43            0.01             0.000
SO-RASSI    final             2034.10         33.90            0.565
